Type,Maker,Name,Release date,Android version,Resolution,Display (inches),Display (mm),System on Chip,RAM (MiB),Internal storage (GiB),MicroSD slot,Rear camera (Mpx),Front camera (Mpx),Networks,Connectivity,"Special features,
notes"
Smartphone,i-Mobile,6010,,1.6,480x320 HVGA,3.0 in ,76 mm,Marvell PXA310,128,,Yes,3.2,,"900, 1800, 1900 MHz","WiFi v802.11b/g, Bluetooth v2.0",
Smartphone,i-Mobile,i810,8/1/10,1.6 (can upgrade to 2.1),854x480 FWVGA,3.2 in ,81 mm,,,,,,,,,
Smartphone,i-Mobile,i858,2/1/10,2.1,854x480 FWVGA,4.3 in ,110 mm,,,,,,,,,
Smartphone,Kyocera/Sanyo,Zio SCP-8600/â€‹M6000,3/22/10,1.6 (user can upgrade to 2.1),854x480 FWVGA,3.5 in ,89 mm,,,,,,,1x EV-DO Rev.A,"Wi-Fi (802.11b/g),
Bluetooth 2.0+EDR,
Micro-USB",Low-priced smartphone[64]
Smartphone,Lenovo,LePhone,9/29/10,2.1,854x480 FWVGA,3.7 in ,94 mm,,,,,,,"W-CDMA/â€‹HSPA: 850, 1900, 2100 MHz; GSM: 850/900, 1800/1900 MHz",,AMOLED
Smartphone,Meizu,Meizu M9,1/1/11,2.2,960x640 DVGA,3.5 in ,89 mm,1000 S5PC110 processor,,,,5,,"GSM, W-CDMA, HSDPA/â€‹HSUPA","Wi-Fi, WAPI (802.11 b/g/n) Bluetooth 2.1+EDR",
Smartphone,myPhone,myPhone A210[66],10/1/10,1.6,,3.0 in ,76 mm,Marvell PXA310 624,,,,3.2,,"GPRS, EDGE","Wi-Fi, FM tuner, Bluetooth 2.0",One of first Android smartphones with dual SIM card support
Smartphone,NEC Medias,NEC Medias N-04C,2/1/11,2.3,854x480 FWVGA,3.6 in ,91 mm,800 MHz,512,,,5.1,,,"Wi-Fi 802.11 b/g/n, mobile hotspot capable, Bluetooth v2.1 +EDR",Multi-touch LCD[67][68]
Smartphone,NEC Casio Mobile Communications,G'zOne Commando,4/28/11,2.2,854x480 FWVGA,3.6 in ,91 mm,800 MHz,512,,,5,,,"Wi-Fi 802.11 b/g/n, mobile hotspot capable, Bluetooth v2.1 +EDR","May be first Android phone ruggedized to military standard MIL-STD-810G, 
3.5 mm stereo audio jack"
Smartphone,Nexian,"NX A890,
Journey",7/1/10,"1.6
can upgrade to 2.1",480x320 HVGA,3.2 in ,81 mm,"600 MHz
Qualcomm CPU",,,,5,,"Quadband GSM/ GPRS/ EDGE,
Triband UMTS/ HSPA","Wi-Fi, Bluetooth",Released in Indonesia
Smartphone,Ouku,"Horizon, P801W",6/1/10,2.2,480x320 HVGA,3.5 in ,89 mm,Snapdragon S1 MSM7227,256,0.5,Yes,2,0.3,"GPRS, 3G, EDGE, WCDMA","Wi-Fi, Bluetooth, FM tuner, Micro-USB, TRRS connector","Dual SIM technology, Proximity sensor, Light sensor, G-Sensor
Made in China and unlocked for worldwide use."
Smartphone,Pantech,Sky Sirius,5/1/10,2.1 (can upgrade to 2.2),854x480 FWVGA,3.7 in ,94 mm,1000 Snapdragon,,,Yes,5,,,"Wi-Fi, Bluetooth",
Smartphone,Pantech,Sky Izar,7/1/10,2.1,854x480 FWVGA,3.7 in ,94 mm,Snapdragon S1 MSM7227,,,Yes,5,,,"Wi-Fi, Bluetooth T-DMB",
Smartphone,Pantech,Sky Vega,7/1/10,2.1 (can upgrade to 2.2),854x480 FWVGA,3.7 in ,94 mm,,,,,,,,,"AMOLED, Minor upgrade of Sky Sirius[69]"
Smartphone,Pantech,Sky Mirach,10/1/10,2.2,854x480 FWVGA,3.5 in ,89 mm,,,,,,,,,
Smartphone,Pantech,Sky VegaXpress,12/1/10,2.2,854x480 FWVGA,4.0 in ,100 mm,,,,,,,,,Minor upgrade of Sky Vega
Smartphone,Vibo,A688,1/18/10,1.6,480x320 HVGA,3.2 in ,81 mm,,,,,,,"GSM 850 900 1800 1900, UMTS 850 1900 2100",,
Smartphone,Videocon,V7500,7/19/11,"1.6, 2.1",480x320 HVGA,3.2 in ,81 mm,,,,,,,"3.5G (HSDPA 7.2 Mbit/s /HSUPA 2 Mbit/s), quad-band 2G: 850 900, 1800 1900 
with UMTS 2100, W-CDMA","Multiple Bluetooth profiles: A2DP, GAP, HFP, HSP; Wi-Fi, USB 2.0","capacitive touchscreen, with 262K color"
Smartphone,ZTE,Blade,10/1/10,"2.1, 2.2",854x480 FWVGA,3.5 in ,89 mm,Snapdragon S1 MSM7227,256,,,3.2,,"GPRS, 3G, HSDPA","Wi-Fi, Bluetooth, Micro-USB",Also marketed as Orange San Francisco in some countries
Smartphone,ZTE,Racer,7/1/10,2.1,320x240 QVGA,2.8 in ,71 mm,Snapdragon S1 MSM7227,256,0.25,Yes,3.2,,GSM/â€‹GPRS/â€‹EDGE/â€‹3G,"Wi-Fi (802.11b/g), Bluetooth 2.0 with A2DP stereo, FM tuner, 3.5 mm stereo 
audio jack, micro-USB","Stylus included, Also marketed as DELL XCD 28 in India, and VIP Racer in 
selected Croatian retailers."
Smartphone,ZTE,Skate,3/1/11,2.3,854x480 FWVGA,4.3 in ,110 mm,Snapdragon S1 MSM7227,512,,Yes,5,,"GPRS, 3G, HSDPA","Wi-Fi, Bluetooth, Micro-USB",Also marketed as Orange Monte Carlo in some countries
Smartphone,ZTE,Crescent,12/1/11,2.3,854x480 FWVGA,3.5 in ,89 mm,Snapdragon S1 MSM7227,512,,Yes,5,0.3,"GPRS, 3G, HSDPA","Wi-Fi, Bluetooth, Micro-USB",Also marketed as Orange San Francisco II in some countries
Smartphone,ZTE,Warp,11/1/11,2.3.5,854x480 FWVGA,4.3 in ,110 mm,Snapdragon S2 MSM8655,512,4,Yes,5,,3G CDMA2000 1xEV-DO,"Wi-Fi, Bluetooth with A2DP, FM Tuner, 3.5 mm stereo audio jack, Micro-USB","Gorilla glass, FM tuner, 1-touch call recording, 3D accelerometer, 
gyroscope, compass, ambient light and proximity sensors. As of Q1 2012, 
sold only through Boost Mobile (Sprint)"
Smartphone,Yota Devices,Yota Phone,5/28/08,4.2.2,720x1280 (Main screen) / 360x640 (E-ink screen),4.3 in,,Dual Core 1.7 GHz Krait,2048 MB,32,No,13,1,"GSM 900/1800/1900, UMTS 900/1800MIMO/2100MIMO, Dual Carrier HSDPA 42Mbit/s, 
HSUPA 11.5Mbit/s, LTE CAT3 3,7,20 MIMO","Wi-Fi 802.11 b/g/n, BT v4.0",e-ink display on back
Tablet,Acer,Iconia Tab A100,1/1/11,3.2, 1024x600 pixels,7.0 in ,180 mm,,5 MP rear camera,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, Bluetooth, A-GPS","1 GHz Dual-core, Nvidia Tegra 2 chipset",
Tablet,Acer,Iconia Tab A500,4/1/11,"3.2, upgradable to 4.0", 1280x800 pixels,10.1 in ,260 mm,"1GB RAM, 16 or 32 GB internal","2MP Front 
5MP Rear/LED flash",,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v3.0 with A2DP, A-GPS","1 GHz Dual-core, Nvidia Tegra 2 chipset",
Tablet,Amazon,Kindle Fire,11/1/11,2.3, 1024x600 pixels,7.0 in ,180 mm,"512MB RAM, 8GB storage",NO,Uses Amazon app store,,,,Wi-Fi 802.11 b/g/n,"1 GHz Dual-core, TI-OMAP 4430 chipset, PowerVR SGX540 GPU",
Tablet,Amazon,Kindle Fire HD,9/1/12,4.0.4, 1280x800 pixels,7.0 in ,180 mm,"1GB RAM, 16GB or 32GB internal storage",1.3MP rear,Uses Amazon app store,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, Bluetooth with A2DP","1.2 GHz Dual-core, TI-OMAP 4460 chipset, PowerVR SGX540 GPU
1.5 GHz Dual-core, TI-OMAP 4470 chipset, PowerVR SGX544 GPU",
Tablet,Amazon,Kindle Fire HDX,9/1/13,4.2.2 using Fire OS 3, 1920x1200 pixels,7.0 in ,180 mm,"2GB RAM, 16GB, 32GB, or 64GB internal storage","1.2 MP HD still and video camera front, 8MP rear (8.9"" only)",Uses Amazon app store,,,,"Wi-Fi 802.11 a/b/g/n, Wi-Fi hotspot, Bluetooth with A2DP","Quad-core 2.2 GHz Qualcomm Snapdragon 800, Qualcomm Adreno 330 @450 MHz GPU",
Tablet,Archos,Archos 5,9/1/09,1.6, 800x480 pixels,4.8 in ,120 mm,,,,,,,,,
Tablet,Archos,Archos 7,6/1/10,1.6, 800x480 pixels,7.0 in ,180 mm,,,,,,,,,
Tablet,Archos,Archos 101 internet tablet,11/1/10,2.2, 800x480 pixels,7.0 in ,180 mm,,,,,,,,1 GHz,
Tablet,Archos,Arnova 9 G2,11/1/11,2.3, 1024x768 pixels,9.7 in ,250 mm,,,,,,,,1 GHz,
Tablet,Archos,Arnova 10 G2,11/1/11,2.3, 1024x600 pixels,10.1 in ,260 mm,,,,,,,,1 GHz,
Tablet,Archos,Archos 101 G9,11/1/11,"3.2, upgradable to 4.0", 1280x800 pixels,10.1 in ,260 mm,"1GB RAM, 16 GB internal storage",,,,,,,"1 GHz Dual-core, TI-OMAP 4430 chipset, PowerVR SGX540 GPU",
Tablet,Asus,Eee Pad Transformer (TF101),4/1/11,3.0 upgradable to 4.0, 1280x800 pixels,10.1 in ,260 mm,"1GB RAM, 16GB or 32GB internal storage",,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, Bluetooth with A2DP, GPS","1 GHz Dual-core, Nvidia Tegra 2 chipset",
Tablet,Asus,Eee Pad Transformer Prime (TF201),12/1/11,3.2 upgradable to 4.1, 1280x800 pixels,10.1 in ,260 mm,"1GB RAM, 16GB or 32GB or 64GB internal storage, microSD slot up to 32GB","*rear*: 8MP, autofocus, LED flash, 1080p full HD video recording (@24FPS)
*front*: 1.2MP",,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v3.0 with A2DP and EDR, 
GPS, HDMI support","1.3 GHz Quad-core, Nvidia Tegra 3 chipset",
Tablet,Asus,Transformer Pad 300 (TF300),4/1/12,4.0 upgradable to 4.2, 1280x800 pixels,10.1 in ,260 mm,"1GB RAM, 16GB or 32GB or 64GB internal storage, microSD slot up to 32GB","*rear*: 8MP, autofocus, LED flash, 1080p full HD video recording (@24FPS)
*front*: 1.2MP",,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v3.0 with A2DP and EDR, 
GPS, HDMI support","1.2 GHz Quad-core, Nvidia Tegra 3 chipset",
Tablet,Asus,Transformer Pad Infinity (TF700T),6/1/12,4.0 upgradable to 4.2, 1920x1200 pixels,10.1 in ,260 mm,"1 GB RAM, 16, 32 or 64 GB internal storage, microSD slot up to 64 GB","*rear*: 8 MP, autofocus, LED flash, 1080p full HD video recording (@30FPS)
*front*: 2 MP (with 720p video recording)",,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v4.0, A-GPS, HDMI support","1.6 GHz Quad-core, Nvidia Tegra 3 chipset",
Tablet,Asus,Google Nexus 7,7/1/12,4.2 upgradable to 4.4, 1280x800 pixels,7.0 in ,180 mm,"1GB RAM, 8GB or 16GB or 32GB internal storage","*rear*: NO
*front*: 1.2 MP (with 720p video recording)",802.11n lacks support for 5 GHz,,,,"Wi-Fi 802.11 b/g/n, NFC, Wi-Fi hotspot, DLNA, Bluetooth v4.0, A-GPS","1.3 GHz quad-core, Nvidia Tegra 3 chipset",
Tablet,Asus,Google Nexus 7 (2013 version),7/1/13,4.3 upgradable to 4.4, 1920x1200 pixels,7.0 in ,180 mm,"2GB RAM, 16GB or 32GB internal storage","*rear*: 5MP
*front*: 1.2MP (with 1080p video recording)","Stereo speakers, Qi wireless charging, SlimPort video output standard via 
micro-USB",,,,"Wi-Fi 802.11 b/g/n (2.4 & 5 GHz), NFC, DLNA, Bluetooth v4.0, A-GPS","1.5 GHz Quad-core, Qualcomm Snapdragon S4 Pro chipset",
Tablet,Asus,FonePad,4/1/13,4.1, 1280x800 pixels,7.0 in ,180 mm,"1GB RAM, 8GB or 16GB or 32 GB internal storage, microSD up to 32GB","*rear*: 3.0MP (in some markets)
*front*: 1.2MP (with 720p video recording)",Also a phone,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, Bluetooth v4.0, A-GPS","1.2 GHz or 1.6 GHz Single-core, Intel chipset",
Tablet,Barnes and Noble,Nook Color,11/16/10,"2.1 with customized UI, 2.2 with update",1024x600,7.0 in ,180 mm,"512 MB RAM, microSD slot up to 32 GB",,"Uses Barnes and Noble app store, can dual-boot standard Android 4.1.2 via 
microSDHC card[74]",,,,Wi-Fi 802.11 b/g/n,"0.800 GHz ARM Cortex-A8-based Texas Instruments OMAP3621, 8 GB internal 
storage, PowerVR SGX 530",
Tablet,Barnes and Noble,Nook Tablet,11/17/11,2.3 with customized UI, 1024 x 600 pixels,7.0 in ,180 mm,"512 MB or 1 GB RAM, microSD slot up to 32 GB",,"Uses Barnes and Noble app store, can dual-boot standard Android 4.1.2 via 
microSDHC card[74]",,,,Wi-Fi 802.11 b/g/n,"1 GHz Texas Instruments OMAP4 dual-core, 8 or 16 GB internal storage, 
PowerVR SGX540",
Tablet,Barnes and Noble,Nook HD,11/8/12,4.0.3 with customized UI,1440 x 900 @ 243 ppi),7.0 in ,180 mm,"1 GB RAM, microSD slot up to 64 GB",,"Uses Barnes and Noble app store, can dual-boot standard Android 4.1.2 via 
microSDHC card[74]",,,,"Wi-Fi 802.11 b/g/n, Bluetooth","Dual-core Texas Instruments OMAP 4470 @ 1.3 GHz, 8 or 16 GB internal 
storage, POWERVR SGX544",
Tablet,Barnes and Noble,Nook HD+,11/8/12,4.0.3 with customized UI,1920x1280,9.0 in ,230 mm,"1 GB RAM, microSD slot up to 64 GB",,"Uses Barnes and Noble app store, can dual-boot standard Android 4.1.2 via 
microSDHC card[74]",,,,"Wi-Fi 802.11 b/g/n, Bluetooth","Dual-core Texas Instruments OMAP 4470 @ 1.5 GHz, 16 or 32 GB internal 
storage, POWERVR SGX544",
Tablet,CUBE,U30GT 2,3/1/13,4.1.1 updated to 4.2.2,1920x1200,7.0 in ,180 mm,"2 GB RAM, microSD slot up to 32GB","Front (0.3MP) and rear (5.0MP) cameras. Autofocus on rear camera with LED 
flash.","HD and normal display mode. Compass. Light sensor. Google Play supported 
and installed.",,,,"Wi-Fi 802.11 b/g/n, USB to Ethernet supported","1.6  GHz ARM Cortex Quad core A9-based Rockchip RK3188, 32 GB internal 
storage, Mali 400MP4",
Tablet,HTC,Flyer,5/1/11,2.3 upgradable to 3.2, 1024x600 pixels,7.0 in ,180 mm,"1GB RAM, microSD slot up to 32GB","*rear*: 5 MP, auto-focus, geo-tagging, 720p video recording
*front*: 1.3 MP",,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, Bluetooth v2.1 with A2DP, A-GPS","1.5 GHz, Qualcomm Snapdragon S2 MSM8255T chipset, Adreno 205 GPU",
Tablet,HTC,Jetstream,9/1/11,3.1,1280x800,10.1 in ,260 mm,"1GB RAM, microSD slot up to 32GB","*rear*: 8 MP, auto-focus, geo-tagging, 1080p video recording, dual-LED flash
*front*: 1.3 MP",,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, Bluetooth v3.0 with A2DP, A-GPS","1.5 GHz, Qualcomm Snapdragon MSM8260 chipset, Adreno 220 GPU",
Tablet,LG,Optimus Pad,4/1/11,3, 1280x768 pixels,8.9 in ,230 mm,"1GB RAM, 8GB or 16GB internal, microSD slot up to 32GB","*rear*: 5MP, autofocus
*front*: 2MP",,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v3.0 with A2DP and EDR, 
A-GPS","1 GHz Dual-core, Nvidia Tegra 2 AP20H chipset, ULP GeForce GPU",
Tablet,LG,Optimus Pad LTE,1/1/12,3.2, 1280x768 pixels,8.9 in ,230 mm,"1GB RAM, 32 GB internal, microSD slot up to 32GB","*rear*: 8MP, autofocus
*front*: 2MP",,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v3.0 with A2DP and EDR, 
A-GPS","1.5 GHz Dual-core, Qualcomm chipset, Adreno 220 GPU",
Tablet,LG,G Pad 8.3,9/1/13,4.2.2, 1920x1200 pixels,8.3 in ,210 mm,"2GB RAM, 16 or 32GB internal storage, microSD slot up to 64GB","*rear* 5MP autofocus, Geo-tagging, 1080p video
*front*: 1.3MP",,,,,"Wi-Fi 802.11 a/b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v4.0 with A2DP, A-GPS","1.7 GHz Quad-core, Krait 300 chipset, Adreno 320 GPU",
Tablet,Samsung,Galaxy Tab,9/1/10,2.2 upgradable to 2.3, 1024x600 pixels,7.0 in ,180 mm,"512 MB RAM, 16 GB internal, microSD slot up to 32 GB","*rear*: 3.15 MP, autofocus
*front*: Yes",,,,,"Wi-Fi 802.11 b/g/n, DLNA, Bluetooth v3.0, GPS","1 GHz, Exynos 3110 chipset, PowerVR SGX540 GPU",
Tablet,Samsung,Galaxy Tab 10.1,6/1/11,3.0 upgradable to 4.0, 1280x800 pixels,10.1 in ,260 mm,"1 GB RAM, 16, 32 or 64 GB internal storage","*rear*: 3.15 MP, autofocus, LED Flash
*front*: 2 MP",,,,,"Wi-Fi 802.11 a/b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v3.0 with A2DP and 
EDR, A-GPS","1 GHz dual-core, Nvidia Tegra 2 chipset",
Tablet,Samsung,Galaxy Tab 7.0 Plus,9/1/11,3.2 upgradable to 4.0, 1024x600 pixels,7.0 in ,180 mm,"1 GB RAM, 16 or 32 GB internal, microSD slot up to 32 GB","*rear*: 3.15 MP, autofocus
*front*: 2 MP",,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v3.0 with A2DP and EDR, 
A-GPS","1.2 GHz dual-core, Exynos 4210 chipset, ARM Mali-400MP4 GPU",
Tablet,Samsung,Galaxy Tab 7.7,9/1/11,3.2 upgradable to 4.0, 1280x800 pixels,7.7 in ,200 mm,"1 GB RAM, 16 or 32 GB internal, microSD slot up to 32 GB","*rear*: 3.15 MP, autofocus
*front*: 2 MP",,,,,"Wi-Fi 802.11 a/b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v3.0 with A2DP and 
EDR, A-GPS","1.4 GHz dual-core, Exynos 4210 chipset, ARM Mali-400MP4 GPU",
Tablet,Samsung,Galaxy Tab 8.9,10/1/11,3.2 upgradable to 4.0, 1280x800 pixels,8.9 in ,230 mm,"1 GB RAM, 16, 32, or 64 GB internal","*rear*: 3.15 MP, autofocus, LED Flash, geo tagging, 720p Video
*front*: 2MP",,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v3.0 with A2DP and EDR, 
A-GPS","1 GHz dual-core, Nvidia Tegra 2 chipset",
Tablet,Samsung,Galaxy Tab 2 7.0,4/1/12,4.0 upgradable to 4.2.2, 1024x600 pixels,7.0 in ,180 mm,"1 GB RAM, 8 or 16 GB internal, microSD slot up to 32 GB","*rear*: 3.15 MP, autofocus
*front*: Yes",,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v3.0 with A2DP and EDR, 
A-GPS","1 GHz dual-core, TI-OMAP 4430 chipset, PowerVR SGX540 GPU",
Tablet,Samsung,Galaxy Tab 2 10.1,5/1/12,4.0 upgradable to 4.1.2, 1280x800 pixels,10.1 in ,260 mm,"1 GB RAM, 16 or 32 GB internal, microSD slot up to 32 GB","*rear*: 3.15 MP, autofocus
*front*: Yes",,,,,"Wi-Fi 802.11 a/b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v3.0 with A2DP and 
EDR, A-GPS","1 GHz dual-core, TI-OMAP 4430 chipset, PowerVR SGX540 GPU",
Tablet,Samsung,Galaxy Note 10.1,6/1/12,4.0 upgradable to 4.1.2, 1280x800 pixels,10.1 in ,260 mm,"2 GB RAM, 16, 32 or 64 GB internal, microSD slot up to 641 GB","*rear*: 51 MP, autofocus, LED flash, face and smile detection, geo-tagging, 
HD video recording
*front*: 1.91 MP (with 720p video recording)",,,,,"Wi-Fi 802.11 a/b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v4.0 with A2DP and 
EDR, A-GPS, HDMI support","1.4 GHz quad-core, Exynos 4412 Quad chipset, ARM Mali-400MP4 GPU",
Tablet,Samsung,Google Nexus 10,11/1/12,4.2.2 upgradable to 4.4, 2560x1600 pixels,10.1 in ,260 mm,"2 GB RAM, 16 or 32 GB internal storage","*rear*: 5 MP, LED Flash, geo-tagging, face detection, 1080p video
*front*: 1.9 MP",with S-Pen,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, WiFi Direct, DLNA, Bluetooth v4.0 with 
A2DP, A-GPS, S-GPS","1.7 GHz dual-core, Exynos 5250 chipset, ARM Mali T-604 (Quad-core) GPU",
Tablet,Samsung,Galaxy Note 8.0,4/1/13,4.1.2 upgradable to 4.2.2, 1280x800 pixels,8.0 in ,200 mm,"2 GB RAM, 16 or 32 GB internal storage, microSD slot up to 64 GB","*rear* 5 MP autofocus, geo-tagging, touch-focus, face detection, 720p video
*front*: 1.3 MP",First 10 inch tablet from Google Nexus series,,,,"Wi-Fi 802.11 a/b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v4.0 with A2DP, A-GPS","1.6 GHz quad-core, Exynos 4412 Quad chipset, ARM Mali-400MP4 GPU",
Tablet,Samsung,Galaxy Tab 3 7.0,7/1/13,4.1.2 will be upgradable to 4.2.2, 1024x600 pixels,7.0 in ,180 mm,"1 GB RAM, 8 or 16 GB internal storage, microSD slot up to 64 GB","*rear* 3.15 MP autofocus, geo-tagging, 720p video
*front*: 1.3 MP",with S-Pen,,,,"Wi-Fi 802.11 a/b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v4.0 with A2DP, A-GPS","1.2 GHz dual-core, PXA986 chipset, Vivante GC1000 GPU",
Tablet,Samsung,Galaxy Tab 3 8.0,7/1/13,4.2.2, 1280x800 pixels,8.0 in ,200 mm,"1.5 GB RAM, 16 or 32 GB internal storage, microSD slot up to 64 GB","*rear* 5 MP autofocus, Geo-tagging, 720p video
*front*: 1.3 MP",,,,,"Wi-Fi 802.11 a/b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v4.0 with A2DP, A-GPS","1.5 GHz dual-core, Exynos 4212 Dual chipset, ARM Mali-400MP4 GPU",
Tablet,Samsung,Galaxy Tab 3 10.1,7/1/13,4.2.2, 1280x800 pixels,10.1 in ,260 mm,"1 GB RAM, 16 or 32 GB internal storage, microSD slot up to 64 GB","*rear* 3.15 MP, geo-tagging, 720p video
*front*: 1.3 MP",,,,,"Wi-Fi 802.11 a/b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v4.0 with A2DP, A-GPS","1.6 GHz dual-core, Intel Atom Z2560 chipset, PowerVR SGX544MP2 GPU",
Tablet,Samsung,Galaxy Note 10.1 2014 Edition,9/1/13,4.3, 2560x1600 pixels,10.1 in ,260 mm,"3 GB RAM, 16 or 32 GB internal storage, microSD slot up to 64 GB","*rear* 8 MP, geo-tagging, 1080p video
*front*: 2 MP",,,,,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi hotspot, DLNA, Bluetooth v4.0 with A2DP, 
A-GPS","1.9 GHz octa-core, Samsung Exynos 5420 SoC processor (Wifi, 3G & Wifi) or 
2.3 GHz quad-core, Snapdragon 800 SoC processor (4G/LTE), ARM Mali-T628MP6GPU (Wifi, 3G & Wifi models) or Adreno 330 GPU (4G/LTE model)",
Tablet,Sony,Tablet S,9/1/11,3.1 upgradable to 4.0, 1280x800 pixels,9.4 in ,240 mm,"1GB RAM, 16GB or 32GB internal storage, SD card slot up to 32GB","*rear*: 5MP, autofocus, LED flash, Geo-tagging
*front*: 1.3MP",with S-Pen,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v3.0 with A2DP and EDR, 
A-GPS, HDMI support","1 GHz Dual-core, Nvidia Tegra 2 chipset",
Tablet,Sony,Xperia Tablet S,11/1/12,4.0 upgradable to 4.1.2, 1280x800 pixels,9.4 in ,240 mm,"1GB RAM, 16GB or 32GB internal storage, SD card slot up to 32GB","*rear*: 8MP, autofocus, LED flash, face detection, Geo-tagging, 1080p video 
recording
*front*: 1MP (with 720p video recording)",,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v4.0 with A2DP, A-GPS, 
HDMI support","1.3 GHz Quad-core, Nvidia Tegra 3 chipset",
Tablet,Sony,Xperia Tablet Z,3/1/13,4.1.2 [75], 1920 x 1200 pixels,10.1 in ,260 mm,"2GB RAM, 16GB or 32GB internal storage","*rear*: 13MP, 3288 x 2472 resolution
*front*: 2.2MP 1920 x 1080 resolution",First Tablet of Sony's Xperia series,,,,"Wi-Fi IEEE 802.11a/b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v4.0, GPS, HDMI 
via MHL support",1.5 GHz Qualcomm Snapdragon S4 Pro Quad Core,
Tablet,Toshiba,Thrive,7/1/11,3.2, 1280x800 pixels,10.1 in ,260 mm,"1GB RAM, 8GB internal storage, SD card slot up to 32GB","*rear*: 5MP, autofocus
*front*: 2MP",,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, Bluetooth, A-GPS","1 GHz Dual-core, Nvidia Tegra 2 chipset",
Tablet,ViewSonic,G Tablet,11/1/10,2.2, 1024x600 pixels,7.0 in ,180 mm,"512MB RAM, 16GB internal, microSD slot up to 32GB",,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, Bluetooth","1 GHz Dual-core, Nvidia Tegra 2 chipset",
Tablet,ViewSonic,G Tablet,11/1/10,2.2, 1024x600 pixels,7.0 in ,180 mm,"512MB RAM, 16GB internal, microSD slot up to 32GB",,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, Bluetooth","1 GHz Dual-core, Nvidia Tegra 2 chipset",
